(Recommended Song, % Change SONG Target | Valence TEXT Negative Sentiment, % Change SONG Target Energy | TEXT Bored Emotion)
(<Sonnentanz> by Klangkarussell, 25.423728813559322, 9.304998029830289)

(<Ghosttown> by Madonna, 61.906779661016955, 15.719023352232032)

(<Into the Blue> by Kylie Minogue, 8.050847457627114, 19.609996059660578)

(<Cool Kids - RAC Mix> by Echosmith, 11.016949152542383, 19.427606713999864)

(<Say You'll Be There> by MØ, 69.49152542372883, 12.89198849449098)

(<Say Something> by Karen Harding, 31.355932203389838, 18.090084845821302)

(<One More (feat. MØ)> by Elliphant, 40.67796610169493, 14.50309438116061)

(<Crying for No Reason> by Katy B, 2.118644067796612, 20.309155218026643)

(<Embrace> by Goldroom, 23.728813559322035, 20.005172975258787)

(<Blind Heart - Mix Cut> by CAZZETTE, 56.779661016949156, 17.69490793022309)

(<Ain't Nobody (Loves Me Better) - Extended Mix> by Felix Jaehn, 130.5084745762712, 12.922386718767765)

(<Rihanna (feat. Noonie Bao)> by Clean Bandit, 118.22033898305087, 14.199112138392755)

(<Sonnentanz - Sun Don't Shine> by Klangkarussell, 34.32203389830509, 15.688625127955246)

(<2 On> by Tinashe, 82.6271186440678, 17.08694344468738)

(<Dust Clears> by Clean Bandit, 9.904534606205248, 8.68880924043088)

(<I Will Never Let You Down - Switch Remix> by Rita Ora, 3.221957040572782, 10.030640255398906)

(<Rumble> by Kelis, 1.5513126491646791, 10.780486999057507)

(<Control> by Disclosure, 0.47732696897374743, 11.21460879801775)

(<Feel Your Love> by Le Youth, 7.756563245823383, 10.701555762882917)

(<Prayer in C - Robin Schulz Remix> by Lilly Wood and The Prick, 4.773269689737474, 11.273807225148692)

(<See Right Through> by Tensnake, 18.377088305489252, 9.53732002930772)

(<Teach Me> by Bakermat, 17.661097852028643, 9.813579355918783)

(<Uptown Funk> by Mark Ronson, 10.739856801909317, 11.017280707581275)

(<Cool Kids> by Echosmith, 6.205250596658704, 12.240714868287416)

(<Faded> by ZHU, 26.730310262529834, 8.412549913819817)

(<My Love (feat. Jess Glynne)> by Route 94, 13.365155131264917, 11.273807225148692)

(<Christine> by Christine and the Queens, 45.82338902147971, 6.182742491887659)

(<Ain't Nobody (Loves Me Better) - Extended Mix> by Felix Jaehn, 35.083532219570394, 8.037626541990516)

(<Come And Get It> by John Newman, 4.415274463007151, 13.168156893338843)

(<Something About You> by Hayden James, 18.377088305489252, 10.879151044275742)

(<NEW DORP. NEW YORK> by SBTRKT, 34.60620525059665, 7.642970361117568)

(<Bang Bang> by will.i.am, 14.558472553699284, 11.964455541676353)

(<Right Here, Right Now> by Giorgio Moroder, 11.336515513126487, 12.536707003942128)

(<Ghost (Switch Remix) - Radio Edit> by Ella Henderson, 13.12649164677804, 12.43804295872389)

